0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:39 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:39 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:41 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:56 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3398
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:39:56 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:40:14 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:40:14 -0400] "GET /RememberPasswordWithJSPServlet/eventtype.jsp?eventID=njbdwiuos&venueID=k&eventTitle=k&eventIdentifier=k&startDate=k&endDate=k&eventDescription=k&customMessage=k&instructions=k&CPF_Process=k&img=C%3A%5CUsers%5CCornerstone+NJ%5CPictures%5Cimages.jpg&eventtrack=k&user=next HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:41:45 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:41:45 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:42:00 -0400] "GET /RememberPasswordWithJSPServlet/welcome.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:42:00 -0400] "GET /RememberPasswordWithJSPServlet/image/1.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:42:42 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:42:42 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:42:44 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:42:44 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:43:09 -0400] "GET /RememberPasswordWithJSPServlet/eventmetadata.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:43:09 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:43:36 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:43:52 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:43:52 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:11 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:11 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:21 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:22 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:31 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:31 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:42 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:42 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:44:42 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:45:16 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:45:16 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:45:34 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:45:34 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:45:45 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:45:45 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:46:00 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:46:00 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:46:11 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:46:11 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:46:20 -0400] "GET /RememberPasswordWithJSPServlet/client.jsp HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [12/Apr/2017:13:46:20 -0400] "GET /RememberPasswordWithJSPServlet/css/styles1.css HTTP/1.1" 304 -
